Month_Year,Estimated Individuals using the Internet (% of population)
Dec-2010,56.84
Jan-2011,56.99
Feb-2011,57.16
Mar-2011,57.35
Apr-2011,57.55
May-2011,57.76
Jun-2011,57.98
Jul-2011,58.2
Aug-2011,58.42
Sep-2011,58.64
Oct-2011,58.85
Nov-2011,59.05
Dec-2011,59.05
Jan-2012,59.25
Feb-2012,59.44
Mar-2012,59.64
Apr-2012,59.83
May-2012,60.04
Jun-2012,60.25
Jul-2012,60.47
Aug-2012,60.7
Sep-2012,60.96
Oct-2012,61.23
Nov-2012,61.52
Dec-2012,61.52
Jan-2013,61.83
Feb-2013,62.16
Mar-2013,62.5
Apr-2013,62.86
May-2013,63.22
Jun-2013,63.58
Jul-2013,63.94
Aug-2013,64.29
Sep-2013,64.62
Oct-2013,64.94
Nov-2013,65.24
Dec-2013,65.24
Jan-2014,65.52
Feb-2014,65.77
Mar-2014,66.0
Apr-2014,66.21
May-2014,66.41
Jun-2014,66.59
Jul-2014,66.76
Aug-2014,66.92
Sep-2014,67.08
Oct-2014,67.24
Nov-2014,67.4
Dec-2014,67.4
Jan-2015,67.56
Feb-2015,67.73
Mar-2015,67.91
Apr-2015,68.1
May-2015,68.3
Jun-2015,68.5
Jul-2015,68.7
Aug-2015,68.92
Sep-2015,69.13
Oct-2015,69.35
Nov-2015,69.56
Dec-2015,69.56
Jan-2016,69.78
Feb-2016,70.0
Mar-2016,70.21
Apr-2016,70.43
May-2016,70.64
Jun-2016,70.86
Jul-2016,71.07
Aug-2016,71.29
Sep-2016,71.51
Oct-2016,71.74
Nov-2016,71.96
Dec-2016,71.96
Jan-2017,72.19
Feb-2017,72.42
Mar-2017,72.65
Apr-2017,72.89
May-2017,73.12
Jun-2017,73.36
Jul-2017,73.59
Aug-2017,73.82
Sep-2017,74.04
Oct-2017,74.27
Nov-2017,74.48
Dec-2017,74.48
Jan-2018,74.69
Feb-2018,74.9
Mar-2018,75.1
Apr-2018,75.29
May-2018,75.48
Jun-2018,75.67
Jul-2018,75.85
Aug-2018,76.03
Sep-2018,76.21
Oct-2018,76.39
Nov-2018,76.57
Dec-2018,76.57
Jan-2019,76.76
Feb-2019,76.95
Mar-2019,77.16
Apr-2019,77.37
May-2019,77.6
Jun-2019,77.84
Jul-2019,78.1
Aug-2019,78.37
Sep-2019,78.66
Oct-2019,78.98
Nov-2019,79.31
Dec-2019,79.31
Jan-2020,79.65
Feb-2020,80.02
Mar-2020,80.39
Apr-2020,80.78
May-2020,81.18
Jun-2020,81.58
Jul-2020,81.99
Aug-2020,82.39
Sep-2020,82.79
Oct-2020,83.18
Nov-2020,83.56
Dec-2020,83.56
Jan-2021,83.93
Feb-2021,84.28
Mar-2021,84.61
Apr-2021,84.93
May-2021,85.23
Jun-2021,85.52
Jul-2021,85.78
Aug-2021,86.03
Sep-2021,86.27
Oct-2021,86.49
Nov-2021,86.69
Dec-2021,86.69
Jan-2022,86.88
Feb-2022,87.06
Mar-2022,87.23
Apr-2022,87.39
May-2022,87.55
Jun-2022,87.69
Jul-2022,87.84
Aug-2022,87.98
Sep-2022,88.12
Oct-2022,88.27
Nov-2022,88.43
Dec-2022,88.43
Jan-2023,88.59
Feb-2023,88.77
Mar-2023,88.97
Apr-2023,89.19
May-2023,89.44
Jun-2023,89.73
Jul-2023,90.05
Aug-2023,90.42
Sep-2023,90.85
Oct-2023,91.33
Nov-2023,91.88
Dec-2023,91.88
Jan-2024,92.45
Feb-2024,93.09
Mar-2024,93.8
