Month-Year,Predicted Individuals using Internet (%)
07-2011,58.132526556700164
08-2011,58.66919086761523
09-2011,59.120188906996724
10-2011,59.491202682976876
11-2011,59.78884791901843
12-2011,60.020540246692605
01-2012,61.330242248319145
02-2012,61.45705357445293
03-2012,61.54261519916592
04-2012,61.5960780914309
05-2012,61.62653514502188
06-2012,61.642837643961236
07-2012,61.653419464315206
08-2012,61.66613352434541
09-2012,61.68810470627902
10-2012,61.72560304989895
11-2012,61.78394047102989
12-2012,61.86739360177954
01-2013,62.23901135623578
02-2013,62.38176375309074
03-2013,62.556035010804955
04-2013,62.76175862786029
05-2013,62.997870332945865
06-2013,63.262397593815315
07-2013,63.55257077645739
08-2013,63.86495223134446
09-2013,64.19557906944034
10-2013,64.54011501743244
11-2013,64.8940065232744
12-2013,65.25263822729802
01-2014,65.8961581912185
02-2014,66.2524566027395
03-2014,66.60069040084356
04-2014,66.93736348880716
05-2014,67.25953356388196
06-2014,67.56487815567581
07-2014,67.85173680135414
08-2014,68.119128927343
09-2014,68.36674785765247
10-2014,68.59493218535712
11-2014,68.80461649570127
12-2014,68.99726408942551
01-2015,68.87760220256436
02-2015,69.04155212536196
03-2015,69.19519901467277
04-2015,69.34119619926626
05-2015,69.48224219128647
06-2015,69.62098205570547
07-2015,69.75991649123861
08-2015,69.90132157785895
09-2015,70.04718160231485
10-2015,70.19913675693294
11-2015,70.35844684599833
12-2015,70.52597145679911
01-2016,70.9556562105791
02-2016,71.14124835149875
03-2016,71.33530270706
04-2016,71.53718680075815
05-2016,71.74598708077706
06-2016,71.96056446978993
07-2016,72.17961468282535
08-2016,72.40173062811586
09-2016,72.62546429694846
10-2016,72.8493857443378
11-2016,73.072137048795
12-2016,73.29247949851457
01-2017,73.49503000971029
02-2017,73.70746045496826
03-2017,73.91482734449711
04-2017,74.1166676506729
05-2017,74.31274037419682
06-2017,74.50302022689215
07-2017,74.68768400325433
08-2017,74.86709088914685
09-2017,75.04175809348726
10-2017,75.21233324691566
11-2017,75.37956499330897
12-2017,75.54427311294931
01-2018,75.72429146249983
02-2018,75.88658855832752
03-2018,76.04896610174985
04-2018,76.21225802363712
05-2018,76.37724751356568
06-2018,76.5446519544643
07-2018,76.71511119506098
08-2018,76.88917889629825
09-2018,77.06731657692566
10-2018,77.24988992155122
11-2018,77.43716690169074
12-2018,77.62931729422885
01-2019,78.09052115540604
02-2019,78.29322417243611
03-2019,78.50074679696097
04-2019,78.71287884433508
05-2019,78.92932228304964
06-2019,79.14969614677413
07-2019,79.37354297271712
08-2019,79.60033717516939
09-2019,79.82949576849789
10-2019,80.06039181038703
11-2019,80.29237084320661
12-2019,80.5247704710599
01-2020,80.80808721741722
02-2020,81.03957177857923
03-2020,81.26968160053228
04-2020,81.49797454543298
05-2020,81.72413611877658
06-2020,81.94800896963315
07-2020,82.16962043974863
08-2020,82.38920665452825
09-2020,82.60723157967251
10-2020,82.82439946844482
11-2020,83.04165920238582
12-2020,83.26019918484846
01-2021,83.93042065858388
02-2021,84.15716777055628
03-2021,84.39001629984051
04-2021,84.63085092063739
05-2021,84.8816020241917
06-2021,85.14417291260305
07-2021,85.4203578732746
08-2021,85.71175297177282
09-2021,86.01966181008378
10-2021,86.34499884699267
11-2021,86.68819315101479
12-2021,87.04909564044868
01-2022,87.82698350128437
02-2022,88.22192069682093
03-2022,88.62989968556614
04-2022,89.04769483109828
05-2022,89.47119357304472
06-2022,89.89538588166039
07-2022,90.31437510182698
08-2022,90.72141107215802
09-2022,91.10894578518743
10-2022,91.46871121216508
11-2022,91.79181827270433
12-2022,92.06887530648342
01-2023,85.94458420255916
02-2023,84.73611591741872
03-2023,83.37693215258702
04-2023,81.86893905571628
05-2023,80.21567253593116
06-2023,78.42225445604197
07-2023,76.49532047273391
08-2023,74.4429216525177
09-2023,72.27440256262415
10-2023,70.00025901061917
11-2023,67.63197897741256
12-2023,65.18187054810213
01-2024,62.662880792061145
02-2024,60.08840958057459
03-2024,57.47212226108539
